"YEAR","REGION","STATEFIP","STATECENSUS","METRO","METAREA","COUNTY","METFIPS","INDIVIDCC","FAMINC","PERNUM","WTFINL","AGE","SEX","RACE","MARST","CITIZEN","HISPAN","VOTEREG","VOWHYNOT","VOYNOTREG","VOTEHOW","VOTEWHEN","VOREGHOW","VOTERES","VOTERESP"
2012,31,37,56,2,6642,37183,39580,0,841,1,2937.9417,80,1,100,5,2,0,2,99,99,1,1,5,7,1
2012,31,37,56,2,1521,37119,16740,1,820,1,3258.2858,58,2,100,5,0,0,98,99,99,99,99,99,98,9
2012,31,37,56,2,1521,37119,16740,1,470,1,3845.0017,23,1,100,6,2,0,2,99,99,1,1,9,3,1
2012,31,37,56,2,3122,0,24660,0,740,1,3371.6635,47,1,200,4,0,0,2,99,99,1,2,1,6,1
2012,31,37,56,2,6641,0,20500,0,470,1,3441.991,39,1,100,1,2,410,98,99,99,99,99,99,98,9
2012,31,37,56,2,6641,0,20500,0,470,2,4089.1592,33,2,100,1,0,410,98,99,99,99,99,99,98,9
2012,31,37,56,2,6641,0,20500,0,470,3,2816.2043,3,1,100,9,0,400,99,99,99,99,99,99,99,9
2012,31,37,56,2,6641,0,20500,0,470,4,4678.0221,10,2,100,9,0,410,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,710,1,4150.4616,44,2,651,4,3,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,841,1,3496.086,52,1,100,1,0,0,2,99,99,1,2,97,6,1
2012,31,37,56,2,1521,37119,16740,1,841,2,3119.6024,52,2,100,1,0,0,2,99,99,1,2,97,6,2
2012,31,37,56,2,1521,37119,16740,1,841,3,3336.1859,21,1,100,6,0,0,2,99,99,2,2,97,6,2
2012,31,37,56,2,1521,37119,16740,1,830,1,3928.6075,71,1,100,1,2,300,2,99,99,2,2,3,7,1
2012,31,37,56,2,1521,37119,16740,1,830,2,3382.7743,71,2,100,1,3,300,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,730,1,2816.096,61,2,100,3,0,0,2,99,99,2,2,9,2,1
2012,31,37,56,2,6642,37183,39580,0,843,1,0,46,1,100,1,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6642,37183,39580,0,843,2,3541.5656,46,2,200,1,0,0,2,99,99,1,1,97,5,2
2012,31,37,56,2,6642,37183,39580,0,843,3,4566.9311,18,2,200,6,1,0,2,99,99,1,1,1,2,2
2012,31,37,56,2,6642,37183,39580,0,210,1,5263.3999,24,1,200,6,0,0,2,99,99,1,2,1,7,1
2012,31,37,56,2,6642,37183,39580,0,210,2,3394.9675,53,2,200,6,0,0,2,99,99,1,2,1,7,2
2012,31,37,56,2,6642,37183,39580,0,210,3,2998.4666,62,1,200,6,0,0,98,99,99,99,99,99,97,2
2012,31,37,56,2,6641,0,20500,0,842,1,3522.2416,51,1,100,1,0,0,2,99,99,1,2,1,7,1
2012,31,37,56,2,6641,0,20500,0,842,2,3640.1338,50,2,100,1,0,0,2,99,99,1,2,3,7,1
2012,31,37,56,2,6641,0,20500,0,842,3,2885.0892,11,2,100,9,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6641,0,20500,0,842,4,2997.4403,16,2,100,6,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,6641,0,20500,0,842,5,2997.4403,16,2,100,6,0,0,99,99,99,99,99,99,99,9
2012,31,37,56,2,1521,37119,16740,1,710,1,2896.2505,32,1,100,6,2,0,2,99,99,1,2,7,6,1
